,0,1
0,b0002,0
1,b0003,0
2,b0005,0
3,b0006,0
4,b0008,1
5,b0009,0
6,b0010,0
7,b0012,0
8,b0013,1
9,b0015,0
10,b0016,1
11,b0019,0
12,b0020,0
13,b0021,0
14,b0024,0
15,b0025,0
16,b0026,0
17,b0027,0
18,b0029,0
19,b0030,1
20,b0032,1
21,b0033,1
22,b0034,0
23,b0035,0
24,b0036,0
25,b0037,1
26,b0038,0
27,b0039,0
28,b0040,1
29,b0041,1
30,b0043,1
31,b0045,0
32,b0048,1
33,b0049,0
34,b0050,0
35,b0051,0
36,b0052,0
37,b0053,0
38,b0055,0
39,b0057,1
40,b0058,0
41,b0061,0
42,b0063,1
43,b0065,0
44,b0066,0
45,b0067,0
46,b0068,1
47,b0069,0
48,b0070,0
49,b0074,0
50,b0076,0
51,b0080,0
52,b0081,1
53,b0082,0
54,b0084,0
55,b0085,0
56,b0087,0
57,b0088,0
58,b0089,0
59,b0090,0
60,b0091,0
61,b0092,0
62,b0093,0
63,b0094,0
64,b0095,0
65,b0096,1
66,b0097,0
67,b0098,0
68,b0099,0
69,b0100,0
70,b0101,0
71,b0102,0
72,b0105,0
73,b0106,1
74,b0107,0
75,b0108,0
76,b0109,0
77,b0110,0
78,b0113,0
79,b0115,0
80,b0116,0
81,b0117,1
82,b0119,0
83,b0120,1
84,b0121,0
85,b0122,0
86,b0124,0
87,b0125,0
88,b0127,0
89,b0128,0
90,b0129,0
91,b0134,0
92,b0135,0
93,b0136,1
94,b0138,0
95,b0139,0
96,b0140,1
97,b0141,0
98,b0142,0
99,b0143,0
100,b0144,0
101,b0145,0
102,b0147,0
103,b0149,0
104,b0150,0
105,b0152,0
106,b0154,0
107,b0156,0
108,b0157,0
109,b0159,1
110,b0160,0
111,b0161,0
112,b0162,0
113,b0163,0
114,b0164,1
115,b0166,0
116,b0167,0
117,b0168,0
118,b0169,0
119,b0170,0
120,b0171,1
121,b0172,0
122,b0173,0
123,b0174,0
124,b0176,1
125,b0177,0
126,b0178,0
127,b0179,0
128,b0180,0
129,b0182,0
130,b0183,0
131,b0184,0
132,b0185,0
133,b0187,0
134,b0189,0
135,b0190,1
136,b0191,0
137,b0192,0
138,b0193,0
139,b0194,0
140,b0196,0
141,b0198,0
142,b0199,0
143,b0200,0
144,b0201,0
145,b0207,0
146,b0208,1
147,b0209,0
148,b0210,0
149,b0211,0
150,b0212,0
151,b0213,0
152,b0214,0
153,b0215,0
154,b0216,0
155,b0217,0
156,b0220,0
157,b0221,1
158,b0223,0
159,b0224,1
160,b0227,0
161,b0228,0
162,b0229,0
163,b0231,0
164,b0232,1
165,b0233,1
166,b0234,0
167,b0235,1
168,b0237,0
169,b0238,1
170,b0240,0
171,b0241,0
172,b0243,1
173,b0244,0
174,b0245,0
175,b0246,0
176,b0247,0
177,b0249,0
178,b0252,0
179,b0253,1
180,b0254,0
181,b0255,0
182,b0257,1
183,b0258,0
184,b0259,0
185,b0261,0
186,b0262,1
187,b0264,0
188,b0265,1
189,b0266,0
190,b0269,0
191,b0272,0
192,b0273,1
193,b0274,0
194,b0275,0
195,b0276,0
196,b0277,0
197,b0278,1
198,b0281,0
199,b0282,0
200,b0284,1
201,b0286,0
202,b0288,0
203,b0289,0
204,b0290,0
205,b0291,0
206,b0292,1
207,b0293,0
208,b0296,0
209,b0297,0
210,b0299,1
211,b0300,0
212,b0302,0
213,b0303,0
214,b0305,0
215,b0306,0
216,b0308,0
217,b0309,0
218,b0310,0
219,b0312,0
220,b0313,0
221,b0314,0
222,b0315,0
223,b0317,0
224,b0318,1
225,b0319,1
226,b0321,0
227,b0325,0
228,b0326,0
229,b0327,1
230,b0328,0
231,b0329,0
232,b0332,0
233,b0333,0
234,b0334,1
235,b0335,1
236,b0340,0
237,b0342,1
238,b0343,0
239,b0344,1
240,b0345,0
241,b0346,0
242,b0347,0
243,b0349,1
244,b0350,0
245,b0351,0
246,b0352,0
247,b0353,0
248,b0354,0
249,b0358,0
250,b0361,1
251,b0362,0
252,b0363,0
253,b0364,0
254,b0365,1
255,b0366,0
256,b0367,1
257,b0368,0
258,b0371,0
259,b0372,0
260,b0375,0
261,b0378,0
262,b0380,0
263,b0384,1
264,b0386,0
265,b0387,0
266,b0388,0
267,b0389,0
268,b0390,1
269,b0391,0
270,b0392,0
271,b0394,0
272,b0395,1
273,b0396,0
274,b0397,1
275,b0399,0
276,b0400,0
277,b0401,0
278,b0402,0
279,b0403,0
280,b0405,0
281,b0406,0
282,b0409,1
283,b0410,0
284,b0411,0
285,b0412,0
286,b0413,1
287,b0414,0
288,b0415,0
289,b0416,0
290,b0417,0
291,b0419,0
292,b0420,0
293,b0421,0
294,b0422,1
295,b0423,0
296,b0424,0
297,b0427,1
298,b0428,1
299,b0429,0
300,b0431,0
301,b0432,0
302,b0433,0
303,b0434,0
304,b0435,0
305,b0436,1
306,b0437,1
307,b0440,0
308,b0441,0
309,b0442,0
310,b0443,0
311,b0444,1
312,b0445,0
313,b0446,1
314,b0447,0
315,b0448,0
316,b0449,0
317,b0451,0
318,b0453,0
319,b0454,0
320,b0457,0
321,b0460,0
322,b0461,0
323,b0462,0
324,b0467,1
325,b0469,0
326,b0471,1
327,b0473,0
328,b0477,0
329,b0478,0
330,b0479,0
331,b0480,0
332,b0482,0
333,b0483,0
334,b0484,1
335,b0487,0
336,b0488,0
337,b0490,0
338,c0001,1
339,c0002,1
340,c0003,0
341,c0004,1
342,c0005,1
343,c0006,0
344,c0007,0
345,c0008,1
346,c0009,1
347,c0010,1
348,c0011,0
349,c0013,1
350,c0014,1
351,c0016,0
352,c0017,1
353,c0018,1
354,c0019,1
355,c0020,1
356,c0021,1
357,c0023,1
358,c0024,1
359,c0026,1
360,c0027,1
361,c0028,1
362,c0029,1
363,c0030,0
364,d0001,0
365,d0002,1
366,d0003,1
367,d0004,1
368,d0005,0
369,d0006,0
370,d0007,0
371,d0009,1
372,d0011,1
373,d0012,1
374,d0016,0
375,d0017,1
376,d0018,1
377,d0019,1
378,d0020,0
379,d0021,1
380,d0022,1
381,d0024,0
382,d0025,0
383,d0028,1
384,d0029,1
385,d0030,0
386,d0031,0
387,d0033,1
388,d0035,1
389,d0036,0
390,d0037,0
391,d0039,1
392,d0040,1
393,d0041,0
394,d0042,1
395,d0043,0
396,d0045,0
397,d0046,1
398,d0047,0
399,d0050,0
400,d0051,1
401,d0052,1
402,d0054,0
403,e00002,0
404,e00005,0
405,e00006,0
406,e00007,0
407,e00008,0
408,e00009,0
409,e00011,0
410,e00015,0
411,e00017,0
412,e00018,0
413,e00019,0
414,e00020,1
415,e00021,0
416,e00024,0
417,e00026,0
418,e00028,0
419,e00029,0
420,e00033,0
421,e00035,0
422,e00036,0
423,e00038,0
424,e00039,0
425,e00040,0
426,e00041,0
427,e00043,0
428,e00044,0
429,e00046,0
430,e00047,0
431,e00048,1
432,e00049,0
433,e00050,0
434,e00051,0
435,e00054,0
436,e00056,0
437,e00057,0
438,e00058,0
439,e00062,0
440,e00064,0
441,e00065,0
442,e00066,0
443,e00068,0
444,e00069,0
445,e00070,0
446,e00071,1
447,e00076,0
448,e00077,0
449,e00078,0
450,e00079,0
451,e00080,0
452,e00082,0
453,e00084,0
454,e00085,0
455,e00086,0
456,e00088,0
457,e00089,0
458,e00090,0
459,e00091,0
460,e00093,0
461,e00095,0
462,e00096,0
463,e00097,1
464,e00099,0
465,e00100,0
466,e00102,0
467,e00103,0
468,e00104,0
469,e00105,0
470,e00106,0
471,e00107,0
472,e00108,0
473,e00109,0
474,e00111,0
475,e00113,0
476,e00114,1
477,e00115,0
478,e00118,0
479,e00119,0
480,e00120,1
481,e00121,0
482,e00122,0
483,e00123,0
484,e00124,0
485,e00125,0
486,e00127,0
487,e00128,0
488,e00130,0
489,e00131,0
490,e00132,0
491,e00134,0
492,e00135,1
493,e00136,0
494,e00137,0
495,e00139,0
496,e00140,1
497,e00143,0
498,e00145,0
499,e00146,0
500,e00147,0
501,e00148,0
502,e00149,0
503,e00150,0
504,e00152,1
505,e00153,0
506,e00154,0
507,e00155,0
508,e00157,0
509,e00161,0
510,e00162,0
511,e00163,0
512,e00165,0
513,e00167,0
514,e00168,0
515,e00169,0
516,e00170,0
517,e00173,0
518,e00174,0
519,e00176,1
520,e00177,0
521,e00178,0
522,e00179,0
523,e00180,0
524,e00182,0
525,e00184,0
526,e00186,0
527,e00191,1
528,e00192,0
529,e00193,0
530,e00194,0
531,e00195,1
532,e00196,0
533,e00197,0
534,e00198,0
535,e00199,0
536,e00200,0
537,e00201,0
538,e00202,0
539,e00203,0
540,e00204,0
541,e00205,0
542,e00207,0
543,e00208,0
544,e00209,0
545,e00210,0
546,e00211,0
547,e00212,0
548,e00214,0
549,e00215,0
550,e00217,0
551,e00218,0
552,e00220,0
553,e00221,0
554,e00222,0
555,e00224,0
556,e00226,0
557,e00227,0
558,e00228,1
559,e00231,0
560,e00232,0
561,e00233,0
562,e00234,0
563,e00235,0
564,e00237,0
565,e00238,0
566,e00239,0
567,e00240,0
568,e00242,0
569,e00244,0
570,e00245,0
571,e00246,0
572,e00247,0
573,e00248,0
574,e00250,0
575,e00254,0
576,e00255,0
577,e00256,0
578,e00257,0
579,e00258,0
580,e00259,0
581,e00260,0
582,e00261,0
583,e00264,0
584,e00265,0
585,e00266,1
586,e00268,0
587,e00269,0
588,e00270,0
589,e00271,0
590,e00272,0
591,e00273,0
592,e00274,0
593,e00281,0
594,e00282,0
595,e00284,0
596,e00285,0
597,e00286,0
598,e00287,0
599,e00288,0
600,e00289,0
601,e00291,0
602,e00293,0
603,e00294,0
604,e00295,1
605,e00296,0
606,e00297,0
607,e00298,0
608,e00299,0
609,e00300,0
610,e00301,0
611,e00302,0
612,e00303,0
613,e00304,1
614,e00307,0
615,e00308,0
616,e00309,0
617,e00311,0
618,e00312,0
619,e00313,0
620,e00316,0
621,e00317,0
622,e00320,0
623,e00321,1
624,e00322,0
625,e00323,0
626,e00324,0
627,e00325,0
628,e00326,0
629,e00327,0
630,e00328,1
631,e00329,0
632,e00330,1
633,e00331,0
634,e00332,0
635,e00333,0
636,e00334,0
637,e00335,0
638,e00337,0
639,e00338,0
640,e00339,0
641,e00340,0
642,e00342,0
643,e00343,0
644,e00344,0
645,e00345,0
646,e00346,0
647,e00347,0
648,e00348,0
649,e00349,0
650,e00350,0
651,e00351,0
652,e00353,0
653,e00354,0
654,e00355,0
655,e00356,0
656,e00357,0
657,e00358,0
658,e00359,1
659,e00360,0
660,e00362,0
661,e00363,0
662,e00364,0
663,e00365,0
664,e00367,0
665,e00368,0
666,e00370,0
667,e00371,0
668,e00372,0
669,e00374,0
670,e00377,0
671,e00378,0
672,e00379,0
673,e00380,0
674,e00381,0
675,e00383,0
676,e00384,0
677,e00385,0
678,e00386,0
679,e00387,0
680,e00389,0
681,e00391,0
682,e00392,0
683,e00393,0
684,e00396,0
685,e00398,0
686,e00400,0
687,e00401,0
688,e00402,0
689,e00403,0
690,e00404,0
691,e00405,0
692,e00407,0
693,e00408,0
694,e00409,0
695,e00410,0
696,e00411,0
697,e00412,0
698,e00414,0
699,e00415,0
700,e00416,0
701,e00417,0
702,e00418,0
703,e00421,0
704,e00422,0
705,e00424,0
706,e00425,0
707,e00426,0
708,e00428,0
709,e00429,0
710,e00430,0
711,e00432,0
712,e00433,0
713,e00435,1
714,e00436,0
715,e00437,0
716,e00439,0
717,e00440,0
718,e00441,0
719,e00442,0
720,e00444,0
721,e00445,0
722,e00446,0
723,e00450,0
724,e00451,0
725,e00452,0
726,e00453,0
727,e00454,0
728,e00455,0
729,e00456,1
730,e00457,1
731,e00458,0
732,e00459,0
733,e00460,0
734,e00461,1
735,e00462,0
736,e00463,0
737,e00465,0
738,e00470,0
739,e00471,0
740,e00472,0
741,e00473,0
742,e00475,1
743,e00476,0
744,e00477,1
745,e00478,0
746,e00479,0
747,e00480,0
748,e00483,0
749,e00484,0
750,e00485,0
751,e00487,0
752,e00489,0
753,e00491,0
754,e00492,0
755,e00493,0
756,e00496,0
757,e00497,0
758,e00498,0
759,e00499,0
760,e00500,0
761,e00501,0
762,e00502,0
763,e00503,0
764,e00505,0
765,e00506,0
766,e00507,0
767,e00508,0
768,e00509,0
769,e00511,0
770,e00512,0
771,e00513,0
772,e00515,0
773,e00516,0
774,e00519,0
775,e00520,0
776,e00522,0
777,e00523,1
778,e00524,0
779,e00525,0
780,e00526,1
781,e00527,0
782,e00528,1
783,e00530,0
784,e00531,0
785,e00532,0
786,e00533,0
787,e00534,0
788,e00535,0
789,e00538,0
790,e00539,1
791,e00540,0
792,e00541,0
793,e00542,0
794,e00544,0
795,e00547,0
796,e00548,0
797,e00549,0
798,e00550,0
799,e00551,1
800,e00554,0
801,e00560,0
802,e00561,0
803,e00563,0
804,e00567,0
805,e00568,0
806,e00569,0
807,e00571,0
808,e00572,0
809,e00573,0
810,e00574,0
811,e00575,0
812,e00576,0
813,e00577,0
814,e00578,0
815,e00579,0
816,e00580,0
817,e00581,0
818,e00583,0
819,e00584,0
820,e00585,0
821,e00586,0
822,e00587,0
823,e00588,0
824,e00591,1
825,e00592,0
826,e00595,0
827,e00597,0
828,e00598,0
829,e00599,0
830,e00601,1
831,e00602,0
832,e00604,0
833,e00605,1
834,e00606,0
835,e00607,0
836,e00609,0
837,e00610,0
838,e00611,0
839,e00616,0
840,e00617,0
841,e00618,0
842,e00619,1
843,e00620,0
844,e00621,0
845,e00623,0
846,e00624,0
847,e00625,0
848,e00627,1
849,e00629,0
850,e00630,0
851,e00631,0
852,e00632,0
853,e00633,0
854,e00634,0
855,e00636,0
856,e00638,0
857,e00640,0
858,e00642,0
859,e00644,0
860,e00645,0
861,e00646,0
862,e00647,0
863,e00648,1
864,e00651,0
865,e00654,0
866,e00655,0
867,e00656,0
868,e00658,0
869,e00659,0
870,e00660,0
871,e00661,0
872,e00663,0
873,e00664,0
874,e00669,0
875,e00670,1
876,e00671,0
877,e00672,0
878,e00673,0
879,e00674,0
880,e00676,0
881,e00679,0
882,e00680,0
883,e00681,0
884,e00682,0
885,e00684,0
886,e00685,0
887,e00687,0
888,e00688,0
889,e00690,0
890,e00691,0
891,e00692,0
892,e00693,1
893,e00695,0
894,e00696,0
895,e00697,0
896,e00698,0
897,e00700,0
898,e00703,1
899,e00704,0
900,e00705,0
901,e00708,0
902,e00709,0
903,e00712,0
904,e00713,1
905,e00715,0
906,e00716,0
907,e00717,0
908,e00721,0
909,e00723,0
910,e00724,0
911,e00725,0
912,e00727,0
913,e00730,0
914,e00731,1
915,e00734,0
916,e00735,0
917,e00736,0
918,e00737,1
919,e00739,0
920,e00740,0
921,e00743,0
922,e00744,0
923,e00745,0
924,e00746,0
925,e00747,0
926,e00748,0
927,e00749,0
928,e00750,0
929,e00751,0
930,e00752,0
931,e00753,0
932,e00755,0
933,e00756,0
934,e00757,0
935,e00758,0
936,e00759,0
937,e00760,0
938,e00762,0
939,e00763,0
940,e00764,0
941,e00765,0
942,e00767,0
943,e00770,0
944,e00772,0
945,e00773,0
946,e00774,0
947,e00777,0
948,e00778,0
949,e00779,0
950,e00780,0
951,e00781,0
952,e00782,0
953,e00783,0
954,e00784,0
955,e00785,0
956,e00786,0
957,e00788,0
958,e00790,0
959,e00791,0
960,e00792,1
961,e00797,0
962,e00799,0
963,e00800,0
964,e00802,0
965,e00803,0
966,e00804,0
967,e00806,0
968,e00808,0
969,e00810,0
970,e00811,1
971,e00812,1
972,e00813,0
973,e00814,0
974,e00816,0
975,e00817,0
976,e00819,0
977,e00820,0
978,e00821,0
979,e00822,0
980,e00825,0
981,e00826,0
982,e00827,0
983,e00828,0
984,e00829,0
985,e00830,0
986,e00831,0
987,e00832,0
988,e00835,0
989,e00836,0
990,e00837,0
991,e00838,0
992,e00839,0
993,e00840,0
994,e00841,1
995,e00843,0
996,e00844,0
997,e00845,0
998,e00846,0
999,e00848,0
1000,e00849,0
1001,e00850,0
1002,e00852,0
1003,e00853,0
1004,e00854,0
1005,e00855,0
1006,e00857,0
1007,e00858,0
1008,e00859,0
1009,e00860,0
1010,e00861,0
1011,e00863,0
1012,e00864,0
1013,e00865,0
1014,e00867,0
1015,e00868,0
1016,e00869,0
1017,e00870,0
1018,e00871,1
1019,e00872,0
1020,e00873,0
1021,e00874,0
1022,e00875,0
1023,e00876,0
1024,e00878,0
1025,e00880,1
1026,e00881,0
1027,e00882,0
1028,e00883,0
1029,e00884,0
1030,e00885,0
1031,e00886,0
1032,e00887,0
1033,e00888,0
1034,e00891,0
1035,e00893,0
1036,e00894,0
1037,e00895,0
1038,e00896,0
1039,e00897,0
1040,e00898,0
1041,e00899,0
1042,e00901,0
1043,e00905,0
1044,e00907,0
1045,e00908,0
1046,e00909,0
1047,e00910,0
1048,e00911,0
1049,e00912,0
1050,e00913,0
1051,e00914,0
1052,e00916,0
1053,e00917,1
1054,e00918,0
1055,e00922,0
1056,e00923,0
1057,e00924,1
1058,e00925,1
1059,e00926,0
1060,e00927,0
1061,e00928,0
1062,e00930,0
1063,e00933,0
1064,e00934,0
1065,e00935,1
1066,e00936,1
1067,e00938,0
1068,e00939,0
1069,e00940,0
1070,e00942,0
1071,e00944,0
1072,e00946,0
1073,e00947,0
1074,e00949,0
1075,e00950,0
1076,e00951,0
1077,e00952,0
1078,e00953,0
1079,e00955,0
1080,e00956,0
1081,e00957,0
1082,e00961,0
1083,e00962,0
1084,e00963,0
1085,e00964,0
1086,e00965,0
1087,e00966,0
1088,e00967,1
1089,e00968,0
1090,e00970,0
1091,e00971,0
1092,e00972,0
1093,e00973,0
1094,e00974,0
1095,e00975,0
1096,e00977,0
1097,e00979,0
1098,e00981,0
1099,e00982,0
1100,e00983,0
1101,e00984,0
1102,e00986,0
1103,e00987,0
1104,e00988,0
1105,e00991,0
1106,e00992,0
1107,e00994,0
